mysql> select * from ElectronicMail Limit 100;
+-----+---------+-------+---------------------------------------------------+
| id  | entryId | type  | content                                           |
+-----+---------+-------+---------------------------------------------------+
|   1 |    5465 | home  | lorem.fringilla.ornare@dictumplacerat.com         |
|   2 |    4453 | home  | diam.Duis@magnaetipsum.org                        |
|   3 |    4949 | home  | sit.amet@loremutaliquam.com                       |
|   4 |    5942 | home  | massa@semperdui.com                               |
|   5 |    4973 | home  | Cum.sociis@risusNuncac.ca                         |
|   6 |    4966 | home  | augue@rutrum.net                                  |
|   7 |    5331 | home  | sit@commodohendrerit.co.uk                        |
|   8 |    5736 | home  | neque.et@cursus.co.uk                             |
|   9 |    5116 | home  | ornare.facilisis@arcu.com                         |
|  10 |    4454 | home  | parturient.montes@ornare.com                      |
|  11 |    5396 | work  | taciti@necimperdietnec.org                        |
|  12 |    5529 | work  | ipsum@ametrisusDonec.org                          |
|  13 |    4825 | work  | at.fringilla@eleifend.org                         |
|  14 |    5496 | work  | ornare.libero@non.edu                             |
|  15 |    4896 | work  | tempor@eutellus.net                               |
|  16 |    4311 | work  | sit.amet.ultricies@ligula.ca                      |
|  17 |    4345 | work  | a.auctor@pedeetrisus.edu                          |
|  18 |    5957 | work  | tristique.senectus@vestibulumMaurismagna.ca       |
|  19 |    5704 | work  | non.enim@etmagnis.org                             |
|  20 |    4662 | work  | imperdiet.erat@consectetuereuismodest.com         |
|  21 |    5959 | other | Nullam@aliquet.edu                                |
|  22 |    4371 | other | justo.Praesent.luctus@vulputate.org               |
|  23 |    4296 | other | quam.Curabitur.vel@tristiquepharetra.co.uk        |
|  24 |    4021 | other | iaculis.nec.eleifend@lacus.net                    |
|  25 |    4736 | other | sollicitudin.a@duiCumsociis.net                   |
|  26 |    4944 | other | Mauris.quis@Vestibulumuteros.org                  |
|  27 |    4380 | other | pellentesque.a.facilisis@pharetra.net             |
|  28 |    4744 | other | et.malesuada.fames@ac.com                         |
|  29 |    4424 | other | vestibulum@iaculisneceleifend.co.uk               |
|  30 |    5580 | other | arcu.Curabitur@enimdiamvel.com                    |
|  31 |    5164 | home  | sem.egestas@musProinvel.ca                        |
|  32 |    5589 | home  | vitae.erat@enim.com                               |
|  33 |    5795 | home  | Nullam.ut@erategetipsum.ca                        |
|  34 |    5045 | home  | Praesent.interdum.ligula@lectuspede.edu           |
|  35 |    5449 | home  | parturient@Nunc.edu                               |
|  36 |    5792 | home  | mauris@sapien.com                                 |
|  37 |    4550 | home  | dolor.sit@accumsansed.edu                         |
|  38 |    4927 | home  | pede.Cum.sociis@Mauris.com                        |
|  39 |    5245 | home  | eu.accumsan.sed@et.org                            |
|  40 |    4524 | home  | urna.Nullam.lobortis@ornare.org                   |
|  41 |    5854 | work  | odio.sagittis@conguea.edu                         |
|  42 |    4079 | work  | magnis@Namac.edu                                  |
|  43 |    4661 | work  | odio.Nam.interdum@Vestibulum.net                  |
|  44 |    5456 | work  | turpis@dolor.com                                  |
|  45 |    5068 | work  | semper.tellus@massa.edu                           |
|  46 |    5286 | work  | erat@Mauris.org                                   |
|  47 |    4159 | work  | parturient.montes@interdumSed.co.uk               |
|  48 |    4090 | work  | mi.Duis.risus@arcu.net                            |
|  49 |    4540 | work  | Donec.felis@pedePraesenteu.co.uk                  |
|  50 |    5605 | work  | dignissim.tempor@anequeNullam.org                 |
|  51 |    5158 | other | semper@inceptos.ca                                |
|  52 |    4599 | other | ultricies.dignissim@et.co.uk                      |
|  53 |    4675 | other | gravida@lobortis.org                              |
|  54 |    5696 | other | congue.In@rhoncusid.com                           |
|  55 |    4664 | other | erat@Donecsollicitudinadipiscing.org              |
|  56 |    5960 | other | netus.et.malesuada@sedduiFusce.com                |
|  57 |    5676 | other | Pellentesque.ut.ipsum@Pellentesquetincidunt.co.uk |
|  58 |    4409 | other | magna.Ut@Nulla.ca                                 |
|  59 |    5032 | other | nisi@volutpat.com                                 |
|  60 |    5930 | other | pellentesque@montesnasceturridiculus.ca           |
|  61 |    5474 | home  | nec@Donecfelis.net                                |
|  62 |    4571 | home  | sodales.at@Morbinonsapien.co.uk                   |
|  63 |    5923 | home  | molestie.pharetra.nibh@vulputate.net              |
|  64 |    5193 | home  | egestas@id.org                                    |
|  65 |    4471 | home  | id@vitaesodalesat.org                             |
|  66 |    5110 | home  | Cras.vulputate.velit@Curabitursed.edu             |
|  67 |    4023 | home  | dignissim@justo.org                               |
|  68 |    4172 | home  | cursus.et.eros@faucibusleoin.co.uk                |
|  69 |    4097 | home  | dis.parturient@faucibusorciluctus.net             |
|  70 |    5778 | home  | Fusce.dolor@diamnunc.net                          |
|  71 |    5457 | work  | tristique@ligulaAeneaneuismod.co.uk               |
|  72 |    5812 | work  | lacinia.orci.consectetuer@Curabitur.ca            |
|  73 |    5046 | work  | torquent.per@eleifendnon.net                      |
